,iBlock,iRun,trial_counter,trial,timing_bl,jitter_t_BL,timing_cue,play_tone,timing_ITI,timing_target,keypress,reaction_time,cue_ori,target_ori,mapping1,frequency,correct,subject,phase1,pupil_target_locked_t1,pupil_target_locked_t2,pupil_baseline_target_locked,outlier_rt
133,1,2,134,34,"(1646.208041140333, 'Miss', 'Miss')",336.0,1649.00825852693,0,1650.0084335791832,1654.1759294553306,left,1.1705785712729266,45,45,0,20,0,sub-19,1,-7.815603313005433,-6.2784965937402335,7.2338045274498155,0
134,1,2,135,35,"(1657.176873794262, 'Miss', 'Miss')",312.0,1659.7770882956906,1,1660.777276664121,1664.711392655794,right,0.9380201285130172,0,45,1,80,1,sub-19,1,-1.5218965922989611,1.6008546625108326,0.8246014961033684,0
135,1,2,136,36,"(1667.7123295043784, 'Miss', 'Miss')",396.0,1671.0126747817667,1,1672.0128334662186,1676.1636766299414,left,1.1537291678105248,0,45,1,80,0,sub-19,1,-3.226000875087965,-1.45604551584799,6.667596090953237,0
136,1,2,137,37,"(1679.1646187495135, 'Miss', 'Miss')",324.0,1681.8648061192291,0,1682.8649917134533,1686.3657102322068,right,0.5039293820918829,0,45,1,80,1,sub-19,1,-2.7482254090728326,-4.801409668707449,4.634251105472781,0
137,1,2,138,38,"(1689.3666171193909, 'Miss', 'Miss')",384.0,1692.566941812187,1,1693.5671376709686,1698.3847501468954,left,1.820016045992816,45,315,1,80,1,sub-19,1,2.1471926264399626,2.0422267780659022,-1.5289237264121662,0
138,1,2,139,39,"(1701.3857089116864, 'Miss', 'Miss')",384.0,1704.5859983720984,0,1705.5861750888723,1709.2702201996435,right,0.6873109033404035,45,315,1,80,0,sub-19,1,1.8972443757759283,3.777037133464135,-1.8845540298918664,0
139,1,2,140,40,"(1712.271252480834, 'Miss', 'Miss')",384.0,1715.4714975539864,1,1716.4716545739138,1720.2724359561216,right,0.8051499207394954,45,315,1,80,0,sub-19,1,-2.97670624504157,-5.132042870265497,-2.3210067386071818,0
140,1,2,141,41,"(1723.273368920818, 'Miss', 'Miss')",372.0,1726.3736685902984,0,1727.3738272747503,1731.4413061727719,right,1.0702397855202437,0,45,1,80,1,sub-19,1,-2.1035322318402847,5.119728227501092,-3.2196221844121404,0
141,1,2,142,42,"(1734.4423048860954, 'Miss', 'Miss')",300.0,1736.942454138254,1,1737.9426278034045,1741.4766567405677,left,0.5377508088167815,0,45,1,80,0,sub-19,1,-2.4095929890423293,-0.10159954505043403,6.368995284765019,0
142,1,2,143,43,"(1744.4776340925237, 'Miss', 'Miss')",384.0,1747.6779224432541,1,1748.67807918576,1753.162312276574,right,1.4865731316167512,45,315,1,80,0,sub-19,1,2.7130726308901294,2.1043501415741432,1.2879076520927502,0
143,1,2,144,44,"(1756.1632538413032, 'Miss', 'Miss')",300.0,1758.6634416548914,1,1759.6636200361866,1763.0976275564972,right,0.4363819612408406,0,315,0,20,0,sub-19,1,0.3471622719408308,-8.539843408884847,5.913527637804852,0
144,1,2,145,45,"(1766.098573282532, 'Miss', 'Miss')",384.0,1769.2988915946626,0,1770.299052498478,1773.8330964163395,right,0.5383170237873856,0,45,1,80,1,sub-19,1,-3.821937554954157,-5.439653884817061,0.44693495539999945,0
145,1,2,146,46,"(1776.834036871387, 'Miss', 'Miss')",312.0,1779.4342216888363,1,1780.4343800958668,1785.4688659443743,left,2.0372242649609693,0,315,0,20,1,sub-19,1,4.756721614053798,-0.9441236526949937,-5.0485764997922375,0
